scenario,date,generator_hours,generator_energy_kwh,ens_kwh,curtailment_kwh,pv_absorbed_kwh
baseline,2025-01-01,23.75,1270.414501,1.121233677,0,193.8206386
baseline,2025-01-02,21.5,1191.374579,0,18.43020606,282.0723379
baseline,2025-01-03,20.75,1161.885717,0.384685291,1.46270681,306.0163381
baseline,2025-01-04,20.25,1030.243784,0,7.520320677,298.3006401
baseline,2025-01-05,18.25,980.1177894,0,61.00827339,304.2350871
baseline,2025-01-06,18.75,1104.412212,1.729539329,134.925362,305.6361734
baseline,2025-01-07,17.25,1026.0914,0.217404762,155.0604742,387.8048501
baseline,2025-01-08,19.25,1092.097923,0,44.07712443,340.2382467
baseline,2025-01-09,17.5,1071.187304,0,194.5276192,323.6709137
baseline,2025-01-10,21.75,1212.098393,0,14.60424344,283.0576151
baseline,2025-01-11,24,1208.347723,0,0,88.31370943
baseline,2025-01-12,20.75,1073.888116,0,40.85549691,237.571833
baseline,2025-01-13,17,1026.731967,0,149.6289548,382.5229043
baseline,2025-01-14,17.5,1040.106845,0,205.9924458,371.7454667
baseline,2025-01-15,19,1113.124826,0,165.1878191,300.049146
baseline,2025-01-16,17.75,1042.125529,0,123.724825,373.9965298
baseline,2025-01-17,16.25,1000.356256,0,205.8554287,394.985868
baseline,2025-01-18,17.75,963.1095115,0,227.3350273,289.8195545
baseline,2025-01-19,17.25,955.0983644,0,225.3760779,309.8570784
baseline,2025-01-20,19,1117.978464,0,39.0670473,274.0249907
baseline,2025-01-21,20,1127.724751,0,22.78290636,307.1398705
baseline,2025-01-22,16.5,1002.764727,0,68.89622818,395.1723312
baseline,2025-01-23,18,1065.27211,0,142.9531655,362.3467179
baseline,2025-01-24,20,1131.152742,0,111.5115992,314.1311146
baseline,2025-01-25,16,907.9588842,0.567658947,284.5021555,356.0071938
baseline,2025-01-26,15.75,888.902042,0,204.0720357,359.1548609
baseline,2025-01-27,20.75,1171.872522,0,50.95460682,288.4199771
baseline,2025-01-28,18.5,1083.437868,0,140.1663983,346.6688244
baseline,2025-01-29,18.25,1085.615499,0,170.4020102,331.2256831
baseline,2025-01-30,24,1302.615619,0.086674719,0,206.2373063
baseline,2025-01-31,20.75,1168.941794,0,24.89030925,303.5281205
hemat,2025-01-01,23.75,1283.914501,0,0,193.8206386
hemat,2025-01-02,21.5,1198.124579,0,18.43020606,282.0723379
hemat,2025-01-03,20.75,1180.520905,0,1.46270681,306.0163381
hemat,2025-01-04,20.25,1062.493784,0,7.520320677,298.3006401
hemat,2025-01-05,18.25,992.1177894,0,61.00827339,304.2350871
hemat,2025-01-06,18.75,1111.391751,0,134.925362,305.6361734
hemat,2025-01-07,17.25,1039.808805,0,155.0604742,387.8048501
hemat,2025-01-08,19.25,1117.597923,0,44.07712443,340.2382467
hemat,2025-01-09,17.5,1077.887717,0,194.5276192,323.6709137
hemat,2025-01-10,21.75,1218.848393,0,14.60424344,283.0576151
hemat,2025-01-11,24,1208.347723,0,0,88.31370943
hemat,2025-01-12,20.75,1080.638116,0,40.85549691,237.571833
hemat,2025-01-13,17,1033.481967,0,149.6289548,382.5229043
hemat,2025-01-14,17.5,1046.708155,0,205.9924458,371.7454667
